scenario,profile,mode,seed,stop_reason,collected,collected_ratio,collected_mass_kg,collected_mass_per_meter,path_length_m,sim_time_s,goal_count,evaluated_goal_count,empty_goal_arrivals,empty_goal_arrivals_per_km,wasted_path_to_empty_goals,wasted_path_ratio,wasted_time_to_empty_goals,wasted_time_ratio,goal_success_rate,route_false_visits,capture_contacts,terminal_capture_attempts,successful_captures,missed_capture_count,missed_captures,partial_contact_events,throughput_limit_events,bin_full_events,collection_precision,pushed_away_events,pushed_away_debris_count,info_gain_total,unload_events,auc_collected_by_path,collected_ratio_at_1km,collected_ratio_at_2km,collected_ratio_at_3km,map_precision,map_recall,map_f1,map_iou,map_brier,count_mae,detection_precision,detection_recall,false_detection_count,true_detection_count,camera_detection_precision,camera_detection_recall,camera_false_detection_count,camera_true_detection_count,radar_detection_precision,radar_detection_recall,radar_false_detection_count,radar_true_detection_count,near_range_detection_precision,near_range_detection_count,mid_range_detection_precision,mid_range_detection_count,far_range_detection_precision,far_range_detection_count,config_hash,git_commit,git_dirty,runner,oracle_current_collected_ratio,oracle_current_auc_collected_by_path,oracle_current_path_length_m,oracle_gap_collected_ratio,oracle_gap_auc_collected_by_path,collected_ratio_vs_oracle
strong_drift,nominal,belief_cluster_route,2,time_budget,142,0.9466666666666667,50.515060071041695,0.01462291514755801,3454.513656223847,5401.0,184,103,62,17.94753362410286,1976.119914773083,0.5720399776717611,2784.0,0.5154600999814849,0.39805825242718446,0,2427,183,142,41,41,1356,888,0,0.7759562841530054,0,0,0.02941052952093745,1,0.5110273272770174,0.31333333333333335,0.54,0.9466666666666667,0.0,0.0,0.0,0.0,0.0012597119174276976,0.017539382330900678,0.9646135870472375,1.0,424,11558,0.9943392118441106,1.0,26,4567,0.9461361483285966,1.0,398,6991,0.9906621392190152,5890,0.9620377173646828,4083,0.8934793429566948,2009,33e4bc0704b8,912d45a,False,run_experiments,1.0,0.8009573180261168,1214.633207857386,0.053333333333333344,0.2899299907490994,0.9466666666666667
strong_drift,nominal,belief_orienteering,0,time_budget,82,0.5466666666666666,27.43049219504334,0.007993403052688829,3431.6413190019543,5401.0,209,130,108,31.471820613061716,2574.5921603901334,0.7502509502184564,3828.0,0.7087576374745418,0.16923076923076924,0,1667,121,82,39,39,1014,532,0,0.6776859504132231,0,0,-0.011888806943385535,1,0.31901369899269816,0.32,0.32666666666666666,0.46,0.0,0.0,0.0,0.0,0.03660012372485999,0.11279639984441085,0.9449133211678832,1.0,483,8285,0.9886332131965623,1.0,41,3566,0.9143576826196473,1.0,442,4719,0.9890563700185835,4843,0.9248598130841121,2675,0.8168,1250,da685572f748,912d45a,False,run_experiments,1.0,0.8134064731822331,1040.361233357209,0.45333333333333337,0.494392774189535,0.5466666666666666
strong_drift,nominal,belief_orienteering,1,time_budget,73,0.4866666666666667,24.371224831523232,0.00817438756120272,2981.4129375506914,5401.0,245,82,56,18.783040515684306,1871.3923161585926,0.6276863874133418,2783.0,0.515274949083503,0.3170731707317073,0,972,94,73,21,21,712,166,0,0.776595744680851,0,0,-0.011460235922058363,0,0.38691147922139324,0.3466666666666667,0.4866666666666667,0.4866666666666667,0.0,0.0,0.0,0.0,0.004200427011013042,0.010518395897539065,0.9305645684620376,0.7733333333333333,428,5736,0.9895424836601308,0.5733333333333334,24,2271,0.8955802532954251,0.7733333333333333,404,3465,0.983409238776838,3074,0.9239979177511712,1921,0.8023952095808383,1169,cb122504c51f,912d45a,False,run_experiments,1.0,0.7852654231942037,1367.5697006184548,0.5133333333333333,0.39835394397281043,0.4866666666666667
strong_drift,nominal,belief_orienteering,2,time_budget,148,0.9866666666666667,52.781036366474524,0.01912190585624978,2760.2393173180294,5401.0,312,78,36,13.042347369712562,974.615492651383,0.35309093908507994,1419.0,0.26272912423625255,0.5384615384615384,0,2320,197,148,49,49,1388,735,0,0.751269035532995,0,0,-0.04709448565287282,1,0.6535478214753985,0.34925195607470527,0.9866666666666667,0.9866666666666667,0.0,0.0,0.0,0.0,0.0007060630383411722,0.018114794109670276,0.9712560883583727,1.0,419,14158,0.9964979863421467,1.0,20,5691,0.9549966162869389,1.0,399,8467,0.9941916747337851,7231,0.9717391304347827,5060,0.8976377952755905,2286,08c76a59d62f,912d45a,False,run_experiments,1.0,0.8009573180261168,1214.633207857386,0.013333333333333308,0.14740949655071833,0.9866666666666667
strong_drift,nominal,belief_orienteering_provisional,0,time_budget,60,0.4,19.951836290817127,0.006380103191935489,3127.1964873603356,5401.0,238,104,81,25.901794251621215,2285.4829600988764,0.7308408567662632,3226.0,0.5972967968894649,0.22115384615384615,0,804,81,60,21,21,572,151,0,0.7407407407407407,0,0,-0.013561349997219956,0,0.3316886725115814,0.38,0.38,0.4,0.0,0.0,0.0,0.0,0.0037418297989999134,0.012414320192836297,0.9152804642166344,0.49333333333333335,438,4732,0.9892197125256673,0.41333333333333333,21,1927,0.8705772811918063,0.49333333333333335,417,2805,0.9838771593090211,2605,0.9178486997635934,1692,0.7056128293241696,873,57cbafe16790,912d45a,False,run_experiments,1.0,0.8134064731822331,1040.361233357209,0.6,0.48171780067065173,0.4
strong_drift,nominal,belief_orienteering_provisional,1,time_budget,118,0.7866666666666666,39.27108691128576,0.012434232308588812,3158.304102470377,5401.0,234,112,69,21.847167898122684,1907.2758951141082,0.6038924160666689,2866.0,0.530642473615997,0.38392857142857145,0,1959,159,118,41,41,1182,618,0,0.7421383647798742,0,0,-0.0055200380256875126,1,0.6135372758247962,0.5466666666666666,0.7866666666666666,0.7866666666666666,0.0,0.0,0.0,0.0,0.0022222190574014257,0.007584277182294831,0.954983603299215,0.9266666666666666,453,9610,0.9966126300508106,0.8666666666666667,14,4119,0.9259696458684654,0.9266666666666666,439,5491,0.9902392344497608,5225,0.9561561561561561,3330,0.830238726790451,1508,73f2f0cf3888,912d45a,False,run_experiments,1.0,0.7852654231942037,1367.5697006184548,0.21333333333333337,0.17172814736940745,0.7866666666666666
strong_drift,nominal,belief_orienteering_provisional,2,time_budget,142,0.9466666666666667,49.53633790510004,0.018581322389229285,2665.9210182916754,5401.0,322,82,35,13.12867101457793,951.7557790330504,0.35700824311852136,1349.0,0.24976856137752268,0.573170731707317,0,2272,182,142,40,40,1305,785,0,0.7802197802197802,0,0,-0.08895353777830227,1,0.6543376154578989,0.5266666666666666,0.9466666666666667,0.9466666666666667,0.0,0.0,0.0,0.0,0.0011961108235754455,0.018480138179248894,0.9662431396135629,1.0,449,12852,0.9958174904942966,1.0,22,5238,0.9468971520955105,0.9933333333333333,427,7614,0.9904478546821172,6386,0.9713940370668815,4964,0.8739108149666838,1951,0f5c9ca80b9e,912d45a,False,run_experiments,1.0,0.8009573180261168,1214.633207857386,0.053333333333333344,0.14661970256821788,0.9466666666666667
strong_drift,nominal,belief_orienteering_depth1,0,time_budget,111,0.74,39.21415604729617,0.012497672028391013,3137.716845042278,5401.0,236,107,66,21.034402802879658,1572.1725755408486,0.5010562307510145,2448.0,0.45324939825958155,0.38317757009345793,0,2244,140,111,29,29,1171,933,0,0.7928571428571428,0,0,-0.05799954100187696,1,0.403171011966142,0.37333333333333335,0.38666666666666666,0.7066666666666667,0.006666666666666667,0.10526315789473684,0.012539184952978058,0.006309148264984227,0.02752444306013093,0.10294139888361545,0.953586913677572,1.0,471,9677,0.9935929029078364,1.0,26,4032,0.9269293924466339,1.0,445,5645,0.9915572232645403,5330,0.9477064220183486,3270,0.8352713178294574,1548,8546c0d84b60,912d45a,False,run_experiments,1.0,0.8134064731822331,1040.361233357209,0.26,0.4102354612160911,0.74
strong_drift,nominal,belief_orienteering_depth1,1,time_budget,120,0.8,40.15084364820014,0.013126462271260972,3058.771115817416,5401.0,232,102,63,20.596506771695495,1678.3713745211119,0.5487077362022851,2612.0,0.4836141455286058,0.38235294117647056,0,1735,152,120,32,32,1107,476,0,0.7894736842105263,0,0,-0.012001228725668334,1,0.6177430667627798,0.56,0.8,0.8,0.0,0.0,0.0,0.0,0.0022169403793152287,0.007051050934713702,0.9524607329842932,0.9266666666666666,454,9096,0.9951219512195122,0.8733333333333333,19,3876,0.9230769230769231,0.9266666666666666,435,5220,0.98921294446664,5006,0.9477102955505035,3079,0.8368600682593856,1465,3907edf986ec,912d45a,False,run_experiments,1.0,0.7852654231942037,1367.5697006184548,0.19999999999999996,0.16752235643142388,0.8
strong_drift,nominal,belief_orienteering_depth1,2,time_budget,130,0.8666666666666667,45.89431070918203,0.014569512412484236,3150.023790079371,5401.0,199,88,55,17.46018559390441,1572.8540821384895,0.4993149852048763,2553.0,0.47269024254767633,0.375,0,2529,185,130,55,55,1362,982,0,0.7027027027027027,0,0,0.017389001236422612,1,0.5906955765765102,0.36,0.8533333333333334,0.86,0.0,0.0,0.0,0.0,0.001989966437079637,0.008471370067905824,0.9637297981678707,1.0,487,12940,0.9940749235474006,0.9866666666666667,31,5201,0.9443563148261135,1.0,456,7739,0.9904250689104889,6893,0.9603084599682468,4409,0.884235294117647,2125,06f8aa27448d,912d45a,False,run_experiments,1.0,0.8009573180261168,1214.633207857386,0.1333333333333333,0.21026174144960663,0.8666666666666667
