scenario,profile,mode,seed,stop_reason,collected,collected_ratio,collected_mass_kg,collected_mass_per_meter,path_length_m,sim_time_s,goal_count,evaluated_goal_count,empty_goal_arrivals,empty_goal_arrivals_per_km,wasted_path_to_empty_goals,wasted_path_ratio,wasted_time_to_empty_goals,wasted_time_ratio,goal_success_rate,route_false_visits,capture_contacts,terminal_capture_attempts,successful_captures,missed_capture_count,missed_captures,partial_contact_events,throughput_limit_events,bin_full_events,collection_precision,pushed_away_events,pushed_away_debris_count,info_gain_total,unload_events,auc_collected_by_path,collected_ratio_at_1km,collected_ratio_at_2km,collected_ratio_at_3km,map_precision,map_recall,map_f1,map_iou,map_brier,count_mae,detection_precision,detection_recall,false_detection_count,true_detection_count,camera_detection_precision,camera_detection_recall,camera_false_detection_count,camera_true_detection_count,radar_detection_precision,radar_detection_recall,radar_false_detection_count,radar_true_detection_count,near_range_detection_precision,near_range_detection_count,mid_range_detection_precision,mid_range_detection_count,far_range_detection_precision,far_range_detection_count,config_hash,git_commit,git_dirty,runner
robot_disturbed,nominal,confirmed_route,2,path_budget,103,0.6866666666666666,37.58482904328833,0.010439682933402363,3600.1887493185754,4966.0,202,200,136,37.77579717889551,2457.999502105105,0.6827418430687396,3517.0,0.7082158679017317,0.32,130,1972,129,103,26,26,1258,585,0,0.7984496124031008,23608,149,-0.046484068939316794,1,0.26186109817082154,0.03333333333333333,0.18,0.6133333333333333,0.0,0.0,0.0,0.0,0.029571276407143767,0.10855948805195298,0.9734656068845993,1.0,444,16289,0.9958025520483546,1.0,25,5931,0.9611209056323652,1.0,419,10358,0.9919425909605942,7943,0.9746020995597697,5906,0.920249653259362,2884,9661bfad6e1e,317f685,False,run_experiments
robot_disturbed,nominal,confirmed_route,3,path_budget,112,0.7466666666666667,41.17081074915921,0.011435927100728268,3600.128820910143,5056.0,221,219,147,40.831872222515955,2446.074793416718,0.6794409075612826,3576.0,0.7072784810126582,0.3287671232876712,140,2131,150,112,38,38,1406,575,0,0.7466666666666667,26288,148,-0.05312573876419917,1,0.2770852501165093,0.04666666666666667,0.22,0.7,0.012919896640826873,0.19230769230769232,0.024213075060532687,0.012254901960784314,0.03284549466798388,0.11512550528023494,0.9793310970797159,1.0,419,19853,0.9961202715809894,1.0,28,7189,0.9700497893527384,1.0,391,12664,0.9938428874734607,9420,0.9793490153172867,7312,0.940677966101695,3540,8dcfcfb097ad,317f685,False,run_experiments
robot_disturbed,nominal,confirmed_route,4,path_budget,127,0.8466666666666667,44.43988979518216,0.012344078384759193,3600.0978290975986,4728.0,189,187,110,30.554725238556262,2294.946559648816,0.6374678324294504,3068.0,0.6489001692047377,0.4117647058823529,99,2509,183,127,56,56,1647,679,0,0.6939890710382514,25542,140,-0.05788670371133925,1,0.4884089546384075,0.16,0.6066666666666667,0.8066666666666666,0.0,0.0,0.0,0.0,0.008135148640104362,0.05019260851308618,0.9771428571428571,0.9866666666666667,416,17784,0.9951277129780008,0.9666666666666667,33,6740,0.9664828913975672,0.9866666666666667,383,11044,0.9935121107266436,9248,0.9732099366780321,6159,0.9316147511636234,2793,da8331841758,317f685,False,run_experiments
robot_disturbed,nominal,confirmed_route,5,path_budget,100,0.6666666666666666,33.63546274697671,0.009342939154139238,3600.094380586334,4786.0,181,179,114,31.665836488829285,2573.979389105932,0.7149755303600451,3472.0,0.7254492269118261,0.36312849162011174,108,1779,138,100,38,38,1245,396,0,0.7246376811594203,19378,112,-0.07708276526905943,1,0.23253612692426537,0.02,0.25333333333333335,0.5333333333333333,0.03597122302158273,0.2857142857142857,0.06389776357827476,0.033003300330033,0.030055334712513867,0.10825158269758327,0.9744968991266928,0.88,403,15399,0.9962890970136067,0.82,21,5638,0.9623385586118506,0.88,382,9761,0.99433465085639,7590,0.9770658900618857,5494,0.9139072847682119,2718,f7b1855a753e,317f685,False,run_experiments
robot_disturbed,nominal,confirmed_route,6,path_budget,111,0.74,39.47147793727596,0.010964028134502231,3600.0890779425176,4959.0,206,204,129,35.832446699825724,2360.8121788498183,0.6557649346274074,3360.0,0.677555958862674,0.36764705882352944,124,1978,140,111,29,29,1342,496,0,0.7928571428571428,22776,145,-0.09486437679701186,1,0.2422423822440269,0.03333333333333333,0.32,0.5,0.008714596949891068,0.12121212121212122,0.016260162601626018,0.00819672131147541,0.03461037174141824,0.1241440201967664,0.9754326867231966,1.0,423,16795,0.996266839798734,1.0,23,6138,0.9638238220132043,1.0,400,10657,0.9934837697598649,8287,0.9770649825494433,6017,0.9207275223061084,2914,86dce7e9d59c,317f685,False,run_experiments
robot_disturbed,nominal,confirmed_route,7,path_budget,112,0.7466666666666667,38.36901831650567,0.01065746556008814,3600.2010140381203,4953.0,204,202,131,36.38685714747508,2248.409920968179,0.6245234397193501,3276.0,0.6614173228346457,0.35148514851485146,128,2158,151,112,39,39,1483,524,0,0.7417218543046358,22208,150,-0.09447314842885773,1,0.28362182605675934,0.05333333333333334,0.2061730706925664,0.6266666666666667,0.0,0.0,0.0,0.0,0.026805062199188275,0.10979592439242783,0.9745260663507109,1.0,430,16450,0.9963702359346642,1.0,22,6039,0.9622885664109437,1.0,408,10411,0.9929113924050633,7900,0.9751447054817841,5874,0.9265936896329684,3106,97184de5e1cb,317f685,False,run_experiments
robot_disturbed,nominal,confirmed_route,8,path_budget,119,0.7933333333333333,39.23007708462854,0.010896973181537999,3600.0893487646085,5192.0,236,234,157,43.61002874939075,2357.4993899396436,0.6548446889932421,3596.0,0.6926040061633282,0.32905982905982906,155,2072,160,119,41,41,1496,416,0,0.74375,24459,131,-0.10959789848813598,1,0.2479331636411472,0.02,0.12224668287153352,0.56,0.019305019305019305,0.19230769230769232,0.03508771929824561,0.017857142857142856,0.03211172972026709,0.12663605663347127,0.9791869760187171,0.98,427,20089,0.9974200945965315,0.94,18,6959,0.9697909742226162,0.98,409,13130,0.9938531219670009,9273,0.9796444565069887,7369,0.9432111512648426,3874,2b65a1315398,317f685,False,run_experiments
robot_disturbed,nominal,confirmed_route,9,path_budget,115,0.7666666666666667,39.80457286560748,0.011056693706080447,3600.0430077680107,4855.0,187,185,118,32.777386199382875,2293.378940527604,0.6370420952136,3231.0,0.6654994850669413,0.3621621621621622,113,2131,143,115,28,28,1361,627,0,0.8041958041958042,19136,150,-0.07352886630045258,1,0.28147246545059806,0.14666666666666667,0.18,0.56,0.0069767441860465115,0.12,0.013186813186813185,0.00663716814159292,0.037423918346793324,0.12678105407976067,0.9684671092335546,1.0,418,12838,0.9951493985254172,1.0,25,5129,0.9514934584053321,1.0,393,7709,0.9916970138383102,6865,0.9652571428571428,4375,0.8963293650793651,2016,173fa2cb5558,317f685,False,run_experiments
robot_disturbed,nominal,belief_horizon,0,time_budget,56,0.37333333333333335,18.056252074784606,0.0058607067681766415,3080.9001011327155,5401.0,254,149,116,37.651334412742486,2106.1640170233422,0.683619704595094,3294.0,0.6098870579522311,0.2214765100671141,0,690,75,56,19,19,545,70,0,0.7466666666666667,9636,64,-0.0023488764875709313,0,0.2751639843702856,0.21333333333333335,0.37333333333333335,0.37333333333333335,0.0,0.0,0.0,0.0,0.0032080146281476033,0.01227265430529058,0.949180875961217,0.5266666666666666,456,8517,0.9940750493745886,0.44,18,3020,0.9262005054759899,0.5266666666666666,438,5497,0.9872495446265938,3843,0.9529761904761904,3360,0.8593220338983051,1770,9b1eaaa76c97,317f685,False,run_experiments
robot_disturbed,nominal,belief_horizon,1,time_budget,91,0.6066666666666667,31.064964919730333,0.01039483816479194,2988.4991403665704,5401.0,246,111,72,24.092360953856073,1273.5820702807325,0.4261610964105931,1999.0,0.37011664506572856,0.35135135135135137,0,1166,123,91,32,32,881,162,0,0.7398373983739838,18037,106,-0.04079299876252793,1,0.406308129918092,0.20666666666666667,0.54,0.6066666666666667,0.0,0.0,0.0,0.0,0.0038289187821687874,0.014933008655168266,0.9633532191833889,0.8666666666666667,473,12434,0.9946480032935364,0.8266666666666667,26,4832,0.9444651509504286,0.8666666666666667,447,7602,0.9889149102263857,6405,0.9645232815964523,4510,0.8785140562248996,1992,52ffc2b4018d,317f685,False,run_experiments
