scenario,seed,horizon_variant,selector_invocations,route_continuations,queue_discarded_points,regime_route_snapshot_coverage,queued_route_assignment_fraction,route_staleness_ratio_mean,route_staleness_ratio_exceedance_fraction,queued_route_staleness_ratio_mean
static_calm,408,replan_each_leg,231,0,18,1.0,0.03463203463203463,0.011427350516827925,0.0,0.3299647461734063
static_calm,409,queue_commit,161,18,0,1.0,0.1452513966480447,0.04856571647807601,0.0,0.334356278829831
static_calm,409,replan_each_leg,271,0,55,1.0,0.033210332103321034,0.016979254337353606,0.0,0.5112642139358697
strong_drift,400,queue_commit,116,64,0,1.0,0.40555555555555556,0.1308237389999948,0.0,0.32257908246574063
strong_drift,400,replan_each_leg,252,0,364,1.0,0.1984126984126984,0.11544580397094852,0.0,0.5818468520135806
strong_drift,401,queue_commit,129,69,0,1.0,0.3888888888888889,0.21539276677287894,0.050505050505050504,0.5538671145588315
strong_drift,401,replan_each_leg,263,0,255,1.0,0.12547528517110265,0.08848684484575631,0.022813688212927757,0.7052133392252701
strong_drift,402,queue_commit,163,86,0,1.0,0.3895582329317269,0.17524800854124842,0.012048192771084338,0.44986344460588507
strong_drift,402,replan_each_leg,259,0,110,1.0,0.07335907335907337,0.03852258982117228,0.0,0.5251237244044011
strong_drift,403,queue_commit,119,62,0,1.0,0.39226519337016574,0.13638605309701773,0.0,0.34768838888112974
strong_drift,403,replan_each_leg,332,0,203,1.0,0.09036144578313253,0.049498116619877644,0.0,0.5477791572599793
strong_drift,404,queue_commit,172,109,0,1.0,0.43416370106761565,0.1323533706022331,0.0,0.3048466978625205
strong_drift,404,replan_each_leg,285,0,474,1.0,0.21754385964912282,0.13537623329172874,0.0,0.6222939756152045
strong_drift,405,queue_commit,161,78,0,1.0,0.3682008368200837,0.1715855524081317,0.0041841004184100415,0.46601076165390315
strong_drift,405,replan_each_leg,278,0,209,1.0,0.1079136690647482,0.05410533220700019,0.0,0.501376078451535
strong_drift,406,queue_commit,148,71,0,1.0,0.3698630136986301,0.1395036161952926,0.0045662100456621,0.37717644378727266
strong_drift,406,replan_each_leg,223,0,244,1.0,0.12556053811659193,0.07403717605673969,0.004484304932735426,0.5896532235947481
strong_drift,407,queue_commit,193,105,0,1.0,0.3959731543624161,0.12683206461058064,0.0,0.32030470554197477
strong_drift,407,replan_each_leg,316,0,461,1.0,0.18670886075949367,0.10913660909162387,0.0,0.5845282792025956
strong_drift,408,queue_commit,134,71,0,1.0,0.3902439024390244,0.13402459095441718,0.004878048780487805,0.34343801432069404
strong_drift,408,replan_each_leg,229,0,148,1.0,0.08296943231441048,0.043877015317003554,0.0,0.5288335003996745
strong_drift,409,queue_commit,205,38,0,1.0,0.17695473251028807,0.05095180341158255,0.0,0.28793693555847816
strong_drift,409,replan_each_leg,297,0,72,1.0,0.03367003367003367,0.019394578403386237,0.003367003367003367,0.5760189785805713
weak_drift,400,queue_commit,119,109,0,1.0,0.5526315789473685,0.24995672894699905,0.03070175438596491,0.45230265238028394
weak_drift,400,replan_each_leg,247,0,246,1.0,0.14979757085020243,0.08074114436600496,0.0,0.5390016934703574
weak_drift,401,queue_commit,130,114,0,1.0,0.5450819672131147,0.21010092302347363,0.0,0.385448309907726
weak_drift,401,replan_each_leg,211,0,173,1.0,0.12796208530805686,0.06942689364231383,0.004739336492890996,0.5425583169825265
weak_drift,402,queue_commit,132,77,0,1.0,0.4354066985645933,0.19082529280245933,0.0,0.4382690790737802
weak_drift,402,replan_each_leg,315,0,216,1.0,0.09841269841269841,0.06549690717440851,0.009523809523809525,0.6655330890302797
weak_drift,403,queue_commit,182,35,0,1.0,0.19815668202764977,0.06043699357460626,0.0,0.3049959908299897
weak_drift,403,replan_each_leg,247,0,56,1.0,0.04048582995951417,0.01533313347007113,0.0,0.37872839671075686
weak_drift,404,queue_commit,62,173,0,1.0,0.8340425531914893,0.3661638848860281,0.00425531914893617,0.4390230252460031
weak_drift,404,replan_each_leg,296,0,423,1.0,0.20270270270270271,0.13861594624919024,0.006756756756756757,0.6838386681626719
weak_drift,405,queue_commit,136,65,0,1.0,0.373134328358209,0.1441296672436905,0.0,0.3862675082130905
weak_drift,405,replan_each_leg,254,0,104,1.0,0.06299212598425197,0.03473727372481577,0.0,0.5514542203814503
weak_drift,406,queue_commit,122,101,0,1.0,0.5067264573991032,0.20769322945207955,0.0,0.4098724793611835
weak_drift,406,replan_each_leg,195,0,370,1.0,0.24615384615384617,0.15181303767585183,0.0,0.616740465558148
weak_drift,407,queue_commit,67,146,0,1.0,0.7746478873239436,0.404322787460012,0.0892018779342723,0.5219439619938336
weak_drift,407,replan_each_leg,298,0,197,1.0,0.10738255033557047,0.05870254721327663,0.0,0.5466674709236387
weak_drift,408,queue_commit,126,78,0,1.0,0.4362745098039216,0.16308941114789874,0.004901960784313725,0.3738229199345095
weak_drift,408,replan_each_leg,255,0,199,1.0,0.11372549019607843,0.07041047120536124,0.0,0.6191265571505904
weak_drift,409,queue_commit,177,86,0,1.0,0.38022813688212925,0.12597748030877495,0.0038022813688212928,0.33132077321207803
weak_drift,409,replan_each_leg,247,0,191,1.0,0.0931174089068826,0.060674874688902494,0.0,0.6515953933982137
