"scenario","profile","mode","seed","stop_reason","collected","collected_ratio","collected_mass_kg","collected_mass_per_meter","path_length_m","sim_time_s","goal_count","evaluated_goal_count","empty_goal_arrivals","empty_goal_arrivals_per_km","wasted_path_to_empty_goals","wasted_path_ratio","wasted_time_to_empty_goals","wasted_time_ratio","goal_success_rate","route_false_visits","capture_contacts","terminal_capture_attempts","successful_captures","missed_capture_count","missed_captures","partial_contact_events","throughput_limit_events","bin_full_events","collection_precision","pushed_away_events","pushed_away_debris_count","info_gain_total","unload_events","auc_collected_by_path","collected_ratio_at_1km","collected_ratio_at_2km","collected_ratio_at_3km","map_precision","map_recall","map_f1","map_iou","map_brier","count_mae","detection_precision","detection_recall","false_detection_count","true_detection_count","camera_detection_precision","camera_detection_recall","camera_false_detection_count","camera_true_detection_count","radar_detection_precision","radar_detection_recall","radar_false_detection_count","radar_true_detection_count","near_range_detection_precision","near_range_detection_count","mid_range_detection_precision","mid_range_detection_count","far_range_detection_precision","far_range_detection_count","horizon_variant","adaptive_replan_after_each_leg","initial_debris_count","remaining_count","complete_cleanup","config_hash","runner","selector_invocations","route_continuations","queue_discarded_points","provenance_id","git_commit_full","source_sha256","environment_sha256"
"static_calm","nominal","adaptive_mission","405","path_budget","73","0.4866666666666667","27.18449937196108","0.009061103253018846","3000.131287865431","5330.0","194","164","101","33.665193389540185","1589.7858600373913","0.5299054299615371","2915.0","0.5469043151969981","0.38414634146341464","24","825","96","73","23","23","727","2","0","0.7604166666666666","0","0","-0.15718591867008289","0","0.27938901191278326","0.21333333333333335","0.38","0.4866666666666667","0.16","0.2597402597402597","0.19801980198019803","0.10989010989010989","0.013353947034002521","0.04172470762556659","0.957728645173858","0.8866666666666667","434","9833","0.9882391375367527","0.8533333333333334","36","3025","0.9447682486816542","0.8866666666666667","398","6808","0.9837133550488599","3991","0.9638055842812823","3868","0.9049003322259136","2408","queue_commit","False","150","77","0","ad8f9d77acfd","run_adaptive_horizon","155","39","0","a620034d695817d25823357ab58e968cd004425930ee1b4c7a34b2a3ae6b9645","519109d6cab55d8498c1318b6f0971b265ed5e58","b977c6541aa5f9caee0278eeb70eb4d285e7f1d2336771b0c8d708a2ee0f0f18","d7d6ec05229d2b30aba071f56047beb17ff4b5e39a598573816121377609fd21"
"static_calm","nominal","adaptive_mission","405","path_budget","84","0.56","29.79628261964276","0.009931548179307774","3000.164937197088","5814.0","243","176","107","35.66470585446047","1407.6763470958124","0.4691996528733976","2869.0","0.4934640522875817","0.39204545454545453","6","918","108","84","24","24","810","0","0","0.7777777777777778","0","0","-0.16956444150214817","1","0.33255568723092405","0.26","0.46","0.56","0.11428571428571428","0.06060606060606061","0.07920792079207921","0.041237113402061855","0.008325813778218909","0.02029432128067479","0.9602441438469153","0.8866666666666667","482","11642","0.9932614555256065","0.8666666666666667","25","3685","0.9456857618255289","0.8866666666666667","457","7957","0.9899109792284867","5055","0.9643417806683113","4459","0.8957854406130268","2610","replan_each_leg","True","150","66","0","dd608aa8942f","run_adaptive_horizon","243","0","69","a620034d695817d25823357ab58e968cd004425930ee1b4c7a34b2a3ae6b9645","519109d6cab55d8498c1318b6f0971b265ed5e58","b977c6541aa5f9caee0278eeb70eb4d285e7f1d2336771b0c8d708a2ee0f0f18","d7d6ec05229d2b30aba071f56047beb17ff4b5e39a598573816121377609fd21"
"static_calm","nominal","adaptive_mission","406","path_budget","90","0.6","29.35647734687159","0.009785123464326112","3000.1131262060503","5499.0","240","188","112","37.33192559363101","1539.5992675383104","0.5131804044620447","2869.0","0.5217312238588835","0.40425531914893614","31","994","112","90","22","22","860","22","0","0.8035714285714286","0","0","-0.16329378118656473","1","0.3445399584772334","0.2733333333333333","0.48","0.6","0.1","0.11666666666666667","0.1076923076923077","0.056910569105691054","0.009198871411957037","0.02937729237443433","0.9649676241075876","1.0","422","11624","0.9941442640404579","0.9266666666666666","22","3735","0.9517432742188443","1.0","400","7889","0.9902838635930653","5249","0.9653499653499653","4329","0.910453808752026","2468","queue_commit","False","150","60","0","77eaac968d74","run_adaptive_horizon","192","48","0","a620034d695817d25823357ab58e968cd004425930ee1b4c7a34b2a3ae6b9645","519109d6cab55d8498c1318b6f0971b265ed5e58","b977c6541aa5f9caee0278eeb70eb4d285e7f1d2336771b0c8d708a2ee0f0f18","d7d6ec05229d2b30aba071f56047beb17ff4b5e39a598573816121377609fd21"
"static_calm","nominal","adaptive_mission","406","path_budget","84","0.56","26.20320093370921","0.008733965991064655","3000.1491831450426","5898.0","256","166","102","33.99830934176209","1457.1633904444586","0.48569697754727015","2774.0","0.47032892505934215","0.3855421686746988","11","1006","117","84","33","33","868","21","0","0.717948717948718","0","0","-0.16199395202850456","0","0.25742376720604665","0.18","0.3","0.56","0.12244897959183673","0.09090909090909091","0.10434782608695652","0.05504587155963303","0.009398512340757545","0.022317392938065766","0.9673814165042235","0.9","502","14888","0.9950166112956811","0.86","24","4792","0.9547947796481937","0.9","478","10096","0.9879204892966361","6540","0.9696916608269096","5708","0.9204328453214513","3142","replan_each_leg","True","150","66","0","7727d61f4757","run_adaptive_horizon","256","0","91","a620034d695817d25823357ab58e968cd004425930ee1b4c7a34b2a3ae6b9645","519109d6cab55d8498c1318b6f0971b265ed5e58","b977c6541aa5f9caee0278eeb70eb4d285e7f1d2336771b0c8d708a2ee0f0f18","d7d6ec05229d2b30aba071f56047beb17ff4b5e39a598573816121377609fd21"
"static_calm","nominal","adaptive_mission","407","path_budget","53","0.35333333333333333","17.675259001229843","0.005891519865011256","3000.1187140520783","5331.0","203","168","119","39.665097065200435","2003.7912646716409","0.6679039916941292","3551.0","0.6661039204652035","0.2916666666666667","28","646","74","53","21","21","566","6","0","0.7162162162162162","0","0","-0.11786054223027445","0","0.23026255070592572","0.24","0.29333333333333333","0.35333333333333333","0.13725490196078433","0.14583333333333334","0.14141414141414144","0.07608695652173914","0.014050373970576669","0.0405673114456604","0.9529863013698631","0.82","429","8696","0.9903260480114654","0.6266666666666667","27","2764","0.9365329965266814","0.82","402","5932","0.9834851936218679","3512","0.9583669084071985","3723","0.8857142857142857","1890","queue_commit","False","150","97","0","eda47e58d8d2","run_adaptive_horizon","161","42","0","a620034d695817d25823357ab58e968cd004425930ee1b4c7a34b2a3ae6b9645","519109d6cab55d8498c1318b6f0971b265ed5e58","b977c6541aa5f9caee0278eeb70eb4d285e7f1d2336771b0c8d708a2ee0f0f18","d7d6ec05229d2b30aba071f56047beb17ff4b5e39a598573816121377609fd21"
"static_calm","nominal","adaptive_mission","407","path_budget","49","0.32666666666666666","17.076751634082534","0.005692113173500702","3000.072400805793","5153.0","173","149","108","35.99913121129748","2283.1174660099514","0.7610207891638635","3783.0","0.7341354550747138","0.2751677852348993","4","529","64","49","15","15","461","4","0","0.765625","0","0","-0.08748776496898288","0","0.25523643381519295","0.2733333333333333","0.31333333333333335","0.32666666666666666","0.2","0.020202020202020204","0.03669724770642203","0.018691588785046728","0.010072977808044113","0.01579400673614115","0.9385866517106001","0.43333333333333335","438","6694","0.9880569591180524","0.42","26","2151","0.9168516649848638","0.43333333333333335","412","4543","0.9788166544923301","2738","0.9463227605437434","2869","0.8518032786885246","1525","replan_each_leg","True","150","101","0","f6e05df58f4d","run_adaptive_horizon","173","0","52","a620034d695817d25823357ab58e968cd004425930ee1b4c7a34b2a3ae6b9645","519109d6cab55d8498c1318b6f0971b265ed5e58","b977c6541aa5f9caee0278eeb70eb4d285e7f1d2336771b0c8d708a2ee0f0f18","d7d6ec05229d2b30aba071f56047beb17ff4b5e39a598573816121377609fd21"
"static_calm","nominal","adaptive_mission","408","path_budget","48","0.32","15.865456917733715","0.005288302594050668","3000.103839667255","5438.0","193","154","110","36.6653975591059","1850.7112372187287","0.6168823934520856","3374.0","0.6204486943729313","0.2857142857142857","8","490","57","48","9","9","433","0","0","0.8421052631578947","0","0","-0.14251242556672986","0","0.1776351096692168","0.14666666666666667","0.24","0.32","0.12195121951219512","0.09900990099009901","0.1092896174863388","0.057803468208092484","0.014890727385287428","0.03839478050538221","0.9498359118612283","0.7","428","8104","0.990067540723083","0.5533333333333333","25","2492","0.9330008312551954","0.7","403","5612","0.9847374847374848","3276","0.9518979057591623","3056","0.895","2200","queue_commit","False","150","102","0","048ef8954871","run_adaptive_horizon","170","23","0","a620034d695817d25823357ab58e968cd004425930ee1b4c7a34b2a3ae6b9645","519109d6cab55d8498c1318b6f0971b265ed5e58","b977c6541aa5f9caee0278eeb70eb4d285e7f1d2336771b0c8d708a2ee0f0f18","d7d6ec05229d2b30aba071f56047beb17ff4b5e39a598573816121377609fd21"
"static_calm","nominal","adaptive_mission","408","path_budget","66","0.44","24.202848929315287","0.008067446500281662","3000.0631461851385","5654.0","231","174","116","38.66585279963353","1689.405220932684","0.563123220616513","3107.0","0.5495224619738238","0.3333333333333333","0","657","79","66","13","13","578","0","0","0.8354430379746836","0","0","-0.17870487931839169","0","0.22580503657903073","0.17333333333333334","0.26666666666666666","0.44","0.19540229885057472","0.20481927710843373","0.2","0.1111111111111111","0.012084329604144578","0.03828244816212906","0.9582083776724388","0.96","432","9905","0.9933949801849405","0.8","20","3008","0.9436311396907922","0.96","412","6897","0.9878787878787879","3960","0.9579634464751958","3830","0.9124460149195132","2547","replan_each_leg","True","150","84","0","3f1a5293f441","run_adaptive_horizon","231","0","18","a620034d695817d25823357ab58e968cd004425930ee1b4c7a34b2a3ae6b9645","519109d6cab55d8498c1318b6f0971b265ed5e58","b977c6541aa5f9caee0278eeb70eb4d285e7f1d2336771b0c8d708a2ee0f0f18","d7d6ec05229d2b30aba071f56047beb17ff4b5e39a598573816121377609fd21"
"static_calm","nominal","adaptive_mission","409","path_budget","51","0.34","16.585997847377648","0.005528568957284324","3000.0526312553798","5473.0","179","140","96","31.999438609791508","1841.2432899418259","0.6137369960644167","3261.0","0.5958340946464462","0.3142857142857143","6","550","66","51","15","15","484","0","0","0.7727272727272727","0","0","-0.11678256577961513","0","0.21676108866342433","0.16","0.2866666666666667","0.34","0.2","0.08163265306122448","0.11594202898550723","0.06153846153846154","0.011477564340281281","0.024458788067740975","0.9500489715964741","0.5933333333333334","408","7760","0.9898744430943702","0.52","25","2444","0.9327952272328479","0.5933333333333334","383","5316","0.9862345856036708","3487","0.9528936742934051","2972","0.8712697483908719","1709","queue_commit","False","150","99","0","64185d68e04e","run_adaptive_horizon","161","18","0","a620034d695817d25823357ab58e968cd004425930ee1b4c7a34b2a3ae6b9645","519109d6cab55d8498c1318b6f0971b265ed5e58","b977c6541aa5f9caee0278eeb70eb4d285e7f1d2336771b0c8d708a2ee0f0f18","d7d6ec05229d2b30aba071f56047beb17ff4b5e39a598573816121377609fd21"
"static_calm","nominal","adaptive_mission","409","path_budget","89","0.5933333333333334","27.055818834869356","0.00901836326753436","3000.0808386449567","6011.0","271","184","111","36.99900301691046","1264.5995874713753","0.42152183740573995","2655.0","0.4416902345699551","0.3967391304347826","4","937","114","89","25","25","823","0","0","0.7807017543859649","0","0","-0.1461431896625418","1","0.28481419463577606","0.17333333333333334","0.3466666666666667","0.5933333333333334","0.13114754098360656","0.13114754098360656","0.13114754098360656","0.07017543859649122","0.009295582841659196","0.03030564417773044","0.9612102404965089","1.0","500","12390","0.9921123983238846","0.9266666666666666","32","4025","0.9470168685610778","1.0","468","8365","0.9883581578496833","5841","0.9666454217123434","4707","0.8825789923142613","2342","replan_each_leg","True","150","61","0","0c0e721a3778","run_adaptive_horizon","271","0","55","a620034d695817d25823357ab58e968cd004425930ee1b4c7a34b2a3ae6b9645","519109d6cab55d8498c1318b6f0971b265ed5e58","b977c6541aa5f9caee0278eeb70eb4d285e7f1d2336771b0c8d708a2ee0f0f18","d7d6ec05229d2b30aba071f56047beb17ff4b5e39a598573816121377609fd21"
