scope,scenario,metric,paired_runs,queue_commit_mean,replan_each_leg_mean,mean_difference_replan_minus_queue,ci95_low,ci95_high,positive_pairs,tied_pairs,negative_pairs
scenario,static_calm,wasted_path_ratio,10,0.5790700278263408,0.5212261131954776,-0.05784391463086299,-0.10943405186609996,-0.00717017762422684,2,0,8
scenario,strong_drift,wasted_path_ratio,10,0.505773575552076,0.43330576720842745,-0.07246780834364866,-0.13711567087866616,-0.008044567377126301,3,0,7
scenario,weak_drift,wasted_path_ratio,10,0.5516041424858119,0.4619507109671847,-0.08965343151862701,-0.1821361261832238,0.013515041276205848,3,0,7
equal_weight_over_scenarios,ALL,wasted_path_ratio,10,0.5455955125494938,0.47401520616984644,-0.07158030637964756,-0.11380918049123952,-0.03211638895796977,2,0,8
scenario,robot_disturbed,empty_goal_arrivals_per_km,10,40.96510973571411,34.43192067990584,-6.533189055808267,-12.166981858290425,-1.1994584190108217,4,0,6
scenario,static_calm,empty_goal_arrivals_per_km,10,36.99878641045209,36.53207701260468,-0.46670939784740817,-2.366784604982345,1.4666433654285644,6,0,4
scenario,strong_drift,empty_goal_arrivals_per_km,10,28.465539373932767,24.732580663676885,-3.7329587102558834,-6.465942711284108,-0.4329141819354973,2,0,8
scenario,weak_drift,empty_goal_arrivals_per_km,10,40.66495987590122,32.33251113515631,-8.332448740744908,-11.098333588800834,-5.832481213102396,0,0,10
equal_weight_over_scenarios,ALL,empty_goal_arrivals_per_km,10,36.77359884900005,32.00727237283592,-4.766326476164116,-6.97457487425625,-2.724911751134168,0,0,10
scenario,robot_disturbed,goal_success_rate,10,0.31572310913352525,0.32980296057100467,0.014079851437479352,-0.04014879261211591,0.062282117325656396,7,0,3
scenario,static_calm,goal_success_rate,10,0.3362521771022253,0.3519797691994051,0.01572759209717971,-0.0037483938979055043,0.03656762146019454,7,0,3
scenario,strong_drift,goal_success_rate,10,0.4273447360886502,0.4225605395562083,-0.00478419653244192,-0.0507930192081146,0.04284779358588772,4,0,6
scenario,weak_drift,goal_success_rate,10,0.3290685076273325,0.37355988293773684,0.044491375310404375,-0.00841300571486997,0.09438167599537504,7,0,3
equal_weight_over_scenarios,ALL,goal_success_rate,10,0.35209713248793334,0.3694757880660887,0.017378655578155378,-0.007213630682634558,0.04031546146013364,6,0,4
scenario,robot_disturbed,sim_time_s,10,4984.7,5465.5,480.8,301.5,665.0049999999995,9,0,1
scenario,static_calm,sim_time_s,10,5473.1,5762.7,289.6,140.5,420.4,8,0,2
scenario,strong_drift,sim_time_s,10,4850.7,5380.6,529.9,362.2,728.4099999999991,10,0,0
scenario,weak_drift,sim_time_s,10,4971.1,5401.0,429.9,159.895,724.2049999999996,8,0,2
equal_weight_over_scenarios,ALL,sim_time_s,10,5069.9,5502.45,432.55,369.674375,499.3,10,0,0
scenario,robot_disturbed,selector_invocations,10,137.4,265.5,128.1,83.0,175.10249999999976,10,0,0
scenario,static_calm,selector_invocations,10,169.2,234.9,65.7,47.0,85.0,10,0,0
scenario,strong_drift,selector_invocations,10,154.0,273.4,119.4,99.8,144.3,10,0,0
scenario,weak_drift,selector_invocations,10,125.3,256.5,131.2,94.89750000000001,170.3,10,0,0
equal_weight_over_scenarios,ALL,selector_invocations,10,146.475,257.575,111.1,93.7,131.325,10,0,0
scenario,robot_disturbed,route_continuations,10,92.9,0.0,-92.9,-127.1,-61.79750000000021,0,0,10
scenario,static_calm,route_continuations,10,37.6,0.0,-37.6,-44.5,-30.3,0,0,10
scenario,strong_drift,route_continuations,10,75.3,0.0,-75.3,-87.6,-63.2,0,0,10
scenario,weak_drift,route_continuations,10,98.4,0.0,-98.4,-122.7,-75.7,0,0,10
equal_weight_over_scenarios,ALL,route_continuations,10,76.05,0.0,-76.05,-93.5,-60.175,0,0,10
